name,description,price,category_slug,tags,image_url,purchase_url
Smart Desk Hub,"A simple, demo-friendly gift for tech, gadgets interests.",9.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
AI Notebook,"A simple, demo-friendly gift for tech, gadgets interests.",14.49,books-stationery,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Charging Dock,"A simple, demo-friendly gift for tech, gadgets interests.",17.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Webcam Light,"A simple, demo-friendly gift for tech, gadgets interests.",22.49,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Laptop Stand,"A simple, demo-friendly gift for tech, gadgets interests.",25.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Smart Plugs,"A simple, demo-friendly gift for tech, gadgets interests.",30.49,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Desk Mat,"A simple, demo-friendly gift for tech, gadgets interests.",33.99,home-kitchen,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Cable Clips,"A simple, demo-friendly gift for tech, gadgets interests.",38.49,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Privacy Covers,"A simple, demo-friendly gift for tech, gadgets interests.",41.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Pitch Cards,"A simple, demo-friendly gift for tech, gadgets interests.",46.49,puzzles-games,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Mini Keyboard,"A simple, demo-friendly gift for tech, gadgets interests.",49.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
USB Hub,"A simple, demo-friendly gift for tech, gadgets interests.",10.49,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Focus Timer,"A simple, demo-friendly gift for tech, gadgets interests.",13.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Laptop Sleeve,"A simple, demo-friendly gift for tech, gadgets interests.",18.49,fashion-streetwear,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Screen Cleaner,"A simple, demo-friendly gift for tech, gadgets interests.",21.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Phone Stand,"A simple, demo-friendly gift for tech, gadgets interests.",26.49,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Idea Cards,"A simple, demo-friendly gift for tech, gadgets interests.",29.99,puzzles-games,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Desk Lamp,"A simple, demo-friendly gift for tech, gadgets interests.",34.49,home-kitchen,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Wireless Mouse,"A simple, demo-friendly gift for tech, gadgets interests.",37.99,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=800&q=80,
Smart Tracker,"A simple, demo-friendly gift for tech, gadgets interests.",42.49,electronics,"tech,gadgets,productivity,desk-setup",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Hydration Bottle,"A simple, demo-friendly gift for fitness, training interests.",45.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1602143407151-7111542de6e8?auto=format&fit=crop&w=800&q=80,
Massage Gun,"A simple, demo-friendly gift for fitness, training interests.",50.49,beauty-self-care,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Training Bands,"A simple, demo-friendly gift for fitness, training interests.",9.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Protein Shaker,"A simple, demo-friendly gift for fitness, training interests.",14.49,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1602143407151-7111542de6e8?auto=format&fit=crop&w=800&q=80,
Agility Cones,"A simple, demo-friendly gift for fitness, training interests.",17.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Cooling Towel,"A simple, demo-friendly gift for fitness, training interests.",22.49,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Recovery Spray,"A simple, demo-friendly gift for fitness, training interests.",25.99,beauty-self-care,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
