username,interests,preferred_categories,excluded_categories
mark_zuckerberg,"tech,gadgets,productivity,desk-setup,ai,startup,camera,smart-home,minimalist,coding","electronics,gaming-tech-toys",beauty-self-care
cristiano_ronaldo,"fitness,training,running,hydration,recovery,wellness,performance,nutrition,football,discipline","sports-outdoors,beauty-self-care",books-stationery
taylor_swift,"songwriting,journaling,books,cozy,tea,cats,storytelling,lyrics,friendship,romantic","books-stationery,home-kitchen,collectibles-fan-culture",sports-outdoors
eyal_shani,"cooking,hosting,kitchen,mediterranean,tomato,spices,gourmet,olive-oil,family,fresh","food-drink,home-kitchen",gaming-tech-toys
vincent_van_gogh,"art,painting,creative,color,visual-art,handmade,sketching,design,canvas,stars","art-design,books-stationery",sports-outdoors
mrbeast,"gaming,challenge,creator,camera,rgb,tech-toys,youtube,streaming,collectible,fun","gaming-tech-toys,electronics,collectibles-fan-culture",books-stationery
kim_kardashian,"fashion,beauty,fragrance,jewelry,glam,lifestyle,skincare,neutral,camera,luxury","fashion-streetwear,beauty-self-care",sports-outdoors
indiana_jones,"travel,adventure,exploration,maps,camera,outdoor,archaeology,history,rugged,practical","travel-experiences,sports-outdoors,electronics",beauty-self-care
john_lennon,"music,vinyl,guitar,retro,nostalgia,lyrics,peace,audio,collectible,songwriting","music-audio,collectibles-fan-culture,books-stationery",gaming-tech-toys
sherlock_holmes,"mystery,puzzles,strategy,detective,logic,books,board-games,clues,notebook,deduction","puzzles-games,books-stationery,collectibles-fan-culture",beauty-self-care
